,doi,Si,Ge,Al,OH,H2O,HF,SDA,B,Time,Temp,SDA Type,SMILES,SDA_Vol,SDA_SA,SDA_KFI,From?,Extracted,Zeo1,Zeo2,Dense1,Dense2,Am,Other,ITQ,FD1,MR1,FD2,MR2
0,10.1021/acs.cgd.8b00078,1,1.499,0,0,19.992,1.25,1.25,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,quartz + argutite,,,quartz,argutite,,,no,,,,
1,10.1021/acs.cgd.8b00078,1,0.667,0,0,13.336,0.834,0.834,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,quartz + argutite + IM-18,IM-18,,quartz,argutite,,,no,18,10,,
2,10.1021/acs.cgd.8b00078,1,0.333,0,0,10.664,0.666,0.666,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,IM-18 + argutite + quartz,IM-18,,argutite,quartz,,,no,18,10,,
3,10.1021/acs.cgd.8b00078,1,0.25,0,0,10,0.625,0.625,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,IM-18,IM-18,,,,,,no,18,10,,
4,10.1021/acs.cgd.8b00078,1,0.111,0,0,8.888,0.555,0.555,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,ZSM-48 + argutite,*MRE,,argutite,,,,no,19.7,10,,
5,10.1021/acs.cgd.8b00078,1,0.053,0,0,8.424,0.526,0.526,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,ZSM-48 + argutite,*MRE,,argutite,,,,no,19.7,10,,
6,10.1021/acs.cgd.8b00078,1,0,0,0,8,0.5,0.5,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,ZSM-48,*MRE,,,,,,no,19.7,10,,
7,10.1021/acs.cgd.8b00078,1,0.667,0,0,13.336,0.834,0.417,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,quartz + argutite,,,quartz,argutite,,,no,,,,
8,10.1021/acs.cgd.8b00078,1,0.667,0,0,13.336,0.834,1.25,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,IM-18 + argutite + quartz,IM-18,,argutite,quartz,,,no,18,10,,
9,10.1021/acs.cgd.8b00078,1,0.667,0,0,13.336,0.834,1.667,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,IM-18 + argutite,IM-18,,argutite,,,,no,18,10,,
10,10.1021/acs.cgd.8b00078,1,0.667,0,0,13.336,1.667,1.667,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,argutite + IM-18,IM-18,,argutite,,,,no,18,10,,
11,10.1021/acs.cgd.8b00078,1,0.25,0,0,10,1.25,1.25,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,IM-18 + NON + cristobalite + argutite,IM-18,NON,cristobalite,argutite,,,no,18,10,17.6,6
12,10.1021/acs.cgd.8b00078,1,0.25,0,0,10,0.312,0.312,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,ZSM-48 + argutite,*MRE,,argutite,,,,no,19.7,10,,
13,10.1021/acs.cgd.8b00078,1,0.667,0,0,33.34,1.667,1.667,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,argutite + quartz + IM-18,IM-18,,argutite,quartz,,,no,18,10,,
14,10.1021/acs.cgd.8b00078,1,0.25,0,0,25,1.25,1.25,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,IM-18 + cristobalite,IM-18,,cristobalite,,,,no,18,10,,
15,10.1021/acs.cgd.8b00078,1,0.25,0,0,3.75,0.625,0.625,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,IM-18 + NON,IM-18,NON,,,,,no,18,10,17.6,6
16,10.1021/acs.cgd.8b00078,1,0.25,0,0,3.75,0.312,0.625,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,IM-18 + cristobalite,IM-18,,cristobalite,,,,no,18,10,,
17,10.1021/acs.cgd.8b00078,1,0.25,0,0,3.75,0.625,0.938,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,IM-18,IM-18,,,,,,no,18,10,,
18,10.1021/acs.cgd.8b00078,1,0.25,0,0,10,0.625,0.625,0,720,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,IM-18 + argutite,IM-18,,argutite,,,,no,18,10,,
19,10.1021/acs.cgd.8b00078,1,0.25,0,0,10,0.625,0.625,0,336,170,4-dimethylaminopyridine,CN(C)c1ccncc1,1086.1986,602.9992,3.823807346,Table,IM-18 + argutite + NON,IM-18,NON,argutite,,,,no,18,10,17.6,6
20,10.1039/c7dt03751a,1,2,0,0,30,0,0.75,0,10.5,175,decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2634.7945,1310.9886,15.05882353,Table,UOV,UOV,,,,,,no,16.2,12,,
21,10.1039/c7dt03751a,1,2,0,0,15,0,0.75,0,10.5,175,decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2634.7945,1310.9886,15.05882353,Table,UOV,UOV,,,,,,no,16.2,12,,
22,10.1039/c7dt03751a,1,1.333,0,0,23.333,0,0.583,0,10.5,175,decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2634.7945,1310.9886,15.05882353,Table,UOV,UOV,,,,,,no,16.2,12,,
23,10.1039/c7dt03751a,1,1,0,0,20,0,0.5,0,10.5,175,decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2634.7945,1310.9886,15.05882353,Table,UOV,UOV,,,,,,no,16.2,12,,
24,10.1039/c7dt03751a,1,1,0,0,10,0,0.5,0,10.5,175,decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2634.7945,1310.9886,15.05882353,Table,UOV,UOV,,,,,,no,16.2,12,,
25,10.1039/c7dt03751a,1,0.667,0,0,16.667,0,0.417,0,10.5,175,decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2634.7945,1310.9886,15.05882353,Table,UOV + BEA,UOV,*BEA,,,,,no,16.2,12,15.3,12
26,10.1039/c7dt03751a,1,0.5,0,0,15,0,0.375,0,10.5,175,decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2634.7945,1310.9886,15.05882353,Table,UOV + MFI,UOV,MFI,,,,,no,16.2,12,18.4,10
27,10.1039/c7dt03751a,1,0.5,0,0,7.5,0,0.375,0,10.5,175,decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2634.7945,1310.9886,15.05882353,Table,UOV + MFI,UOV,MFI,,,,,no,16.2,12,18.4,10
28,10.1039/c7dt03751a,1,0.333,0,0,13.333,0,0.333,0,10.5,175,decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2634.7945,1310.9886,15.05882353,Table,MFI,MFI,,,,,,no,18.4,10,,
29,10.1039/c7dt03751a,1,0.333,0,0,6.667,0,0.333,0,10.5,175,decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2634.7945,1310.9886,15.05882353,Table,UOV + MFI,UOV,MFI,,,,,no,16.2,12,18.4,10
30,10.1039/c7dt03751a,1,0.167,0,0,11.667,0,0.292,0,10.5,175,decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2634.7945,1310.9886,15.05882353,Table,UOV + MFI,UOV,MFI,,,,,no,16.2,12,18.4,10
31,10.1021/acs.cgd.7b01000,1,2.333,0,0,16.667,1.667,1.667,0,504,175,Tetraethylammonium hydroxide,CC[N+](CC)(CC)CC,1354.9275,686.1208,6.125,Table,PKU-22+unknown+BEC,STI,BEC,,,,unknown,no,16.7,10,15.1,12
32,10.1021/acs.cgd.7b01000,1,4,0,0,25,2,2.5,0,504,175,Tetraethylammonium hydroxide,CC[N+](CC)(CC)CC,1354.9275,686.1208,6.125,Table,BEC+R-GeO2,BEC,,R-GeO2,,,,no,15.1,12,,
33,10.1021/acs.cgd.7b01000,1,4,0,0,15,2.5,2.5,0,504,175,Tetraethylammonium hydroxide,CC[N+](CC)(CC)CC,1354.9275,686.1208,6.125,Table,PKU-22+unknown+BEC+ R-GeO2,STI,BEC,R-GeO2,,,unknown,no,16.7,10,15.1,12
34,10.1021/acs.cgd.7b01000,1,4,0,0,25,2.5,2.5,0,504,175,Tetraethylammonium hydroxide,CC[N+](CC)(CC)CC,1354.9275,686.1208,6.125,Table,PKU-22+unknown,STI,,,,,unknown,no,16.7,10,,
35,10.1021/acs.cgd.7b01000,1,4,0,0,25,3,2.5,0,504,175,Tetraethylammonium hydroxide,CC[N+](CC)(CC)CC,1354.9275,686.1208,6.125,Table,PKU-22+unknown+ R-GeO2,STI,,R-GeO2,,,unknown,no,16.7,10,,
36,10.1021/acs.cgd.7b01000,1,4,0,0,35,2.5,2.5,0,504,175,Tetraethylammonium hydroxide,CC[N+](CC)(CC)CC,1354.9275,686.1208,6.125,Table,BEC+R-GeO2,BEC,,R-GeO2,,,,no,15.1,12,,
37,10.1021/acs.cgd.7b01000,1,4,0,0,25,2.5,2.5,0,168,175,Tetraethylammonium hydroxide,CC[N+](CC)(CC)CC,1354.9275,686.1208,6.125,Table,PKU-22+unknown+BEC,STI,BEC,,,,unknown,no,16.7,10,15.1,12
38,10.1021/acs.cgd.7b01000,1,4,0,0,25,2.5,2.5,0,336,175,Tetraethylammonium hydroxide,CC[N+](CC)(CC)CC,1354.9275,686.1208,6.125,Table,PKU-22+unknown+BEC,STI,BEC,,,,unknown,no,16.7,10,15.1,12
